2026-01-18 21:09:57,695 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:09:58,252 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:09:58,252 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:03,219 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:03,220 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:14,502 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:14,502 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:14,698 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:14,699 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:17,129 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:17,129 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:18,286 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:18,287 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:19,312 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:19,312 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:24,588 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:24,588 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:27,996 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:27,996 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:32,519 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:32,519 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:45,793 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:45,794 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:47,388 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:47,388 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:50,628 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:50,628 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:10:54,790 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:10:54,790 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:00,421 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:00,422 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:03,189 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:03,189 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:07,308 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:07,309 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
2026-01-18 21:11:14,811 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-18 21:11:14,811 | INFO | interrupt-agent | 🔊 Agent is speaking; ignoring user speech
